Question,Products_name
Йоу! Додстер и арриву,"[""Аррива! Medium"",""Додстер""]"
3 liptons,"[""Rich Tea Зеленый 0.5"",""Rich Tea Зеленый с манго 0.5"",""Rich Tea Черный с лимоном 0.5""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Нежный цыпленок"",""Митболы"",""Острая чоризо"",""Соус Бургер""","[""Додо Large"",""Супермясной Додстер""]"
с томатным соусом и шампиньоны,"[""Ветчина и грибы Small""]"
Кофе Латте 0.2,"[""Кофе Латте 0.2""]"
"Hawaiian and homemade, both medium","[""Гавайская с альфредо Medium"",""Домашняя Medium""]"
пирожное с шоколадом,"[""Маффин Три шоколада 120.0""]"
Кофе Латте 0.4,"[""Кофе Латте 0.4""]"
Пицца Жюльен Small,"[""Пицца Жюльен Small""]"
Готовая большая Пепперони по специальной цене,"[""Пепперони Large""]"
мороженое в рожке,"[""Вафельный рожок (м) 1.0""]"
Кус Колбаски барбекю (половинка),"[""Кус Колбаски барбекю (половинка)""]"
Салат Греческий с соусом бальзамик,"[""Салат Греческий с соусом бальзамик""]"
острая пицца на одного человека,"[""Чоризо фреш Small""]"
большую порцию пирожных со сгущенкой и брусникой,"[""Бруслетики 270.0""]"
Соберите свою пиццу Large,"[""Соберите свою пиццу Large""]"
пирожное с карамелью,"[""Маффин Соленая карамель 120.0""]"
Аррива! Small,"[""Аррива! Small""]"
Напиток и бургер,"[""Морс Клюква 0.45"",""Додстер""]"
перекус на двоих за 400 рублей,"[""Додстер"",""Дэнвич ветчина и сыр""]"
с курицей и колу,"[""Двойной цыпленок Medium"",""Добрый Кола Big""]"
"с ветчиной, маргарита, пепперони ","[""Ветчина и сыр Small"",""Маргарита Small"",""Пепперони Фреш Small""]"
"Три любых элемента - додстер, кокосовый напиток, салат","[""Додстер"",""Кофе Кокосовый латте 0.3"",""Салат Цезарь со смесью сыров (трекинг)""]"
Вода БонаАква негазированная  0.5,"[""Вода БонаАква негазированная  0.5""]"
сырное трио на сумму до 1000,"[""Картофель из печи с сырным соусом Big"",""Сырная Small"",""Сырный соус Додо""]"
2 сырника и напиток,"[""Кофе Капучино 0.3"",""Сырники без топпинга"",""Малиновое варенье"",""Кофе Капучино 0.3"",""Малиновое варенье"",""Сырники без топпинга""]"
пиццы на двоих одна с сыром,"[""Пепперони Фреш Medium"",""Сырная Medium""]"
"додстер, что-нибудь с картошкой, вроде бы все","[""Додстер"",""Ланчбокс с куриными кусочками"",""Сырный соус Додо""]"
nine (9) different pizzas,"[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium"",""Ветчина и грибы Medium"",""Двойная пепперони Large"",""Колбаски барбекю Medium"",""Бургер-пицца Medium"",""Цыпленок ранч Medium""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""пикантная пепперони"",""увеличенная порция моцареллы""","[""Додо Medium"",""Пепперони Medium""]"
пиццу с грибами и мясом и карбонару,"[""Ветчина и грибы Small"",""Карбонара Small""]"
Пицца чтобы затусить с друзьями и пару пачек сока,"[""Пицца из половинок Large"",""Добрый Апельсин 0.5"",""Добрый Апельсин 0.5""]"
Можно только ложку и додо клюв,"[""Додо Клюв"",""Ложка""]"
kids pizza and something for breakfast,"[""Малиновое варенье"",""Пицца Миксик Small"",""Сырники с малиновым вареньем""]"
Dodo tart branded carrot dessert,"[""Додо тарт""]"
"картофель фри, пицца с фрутками и дрессинг один ","[""Гавайская с альфредо Small"",""Картофель из печи"",""Сырный соус Додо""]"
Ice Cappuccino (NEW) 0.3,"[""Айс Капучино (NEW) 0.3""]"
картофель и острую пццу,"[""Диабло Large"",""Картофель из печи""]"
большая порция коричных пирожных,"[""Рулетики с корицей 220.0""]"
Песто Римская Кусочками Medium,"[""Песто Римская Кусочками Medium""]"
Кус Песто (фудкорт),"[""Кус Песто (фудкорт)""]"
Песто Medium,"[""Песто Medium""]"
Коктейль Клубничный 0.3,"[""Коктейль Клубничный 0.3""]"
Вилка (не из еды),"[""Вилка""]"
макарон с манго,"[""Макарон манго-маракуйя""]"
Додо Large,"[""Додо Large""]"
(16) = шестьнадцать одинаковых пицц одного размера,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
чай и кофе,"[""Rich Tea Черный с лимоном 0.5"",""Кофе Капучино 0.4""]"
неострую пиццу и острую закуску,"[""Додо Микс Large"",""Острый Додстер""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""смесь сыров чеддер и пармезан"",""блю чиз"",""альфредо""","[""Додо Medium"",""Четыре сыра Medium""]"
Айс Капучино (NEW) 0.3,"[""Айс Капучино (NEW) 0.3""]"
"не пицца, можно вегетерианцам","[""Картофель из печи"",""Чесночный соус ""]"
Погнали! Додстер и арриву,"[""Аррива! Medium"",""Додстер""]"
детскую пиццу и еще одно варенье,"[""Додо Микс Small"",""Малиновое варенье""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""песто"",""цыпленок"",""брынза"",""альфредо""","[""Додо Large"",""Песто Large""]"
Сырники с малиновым вареньем (тест завтраков)  Small,"[""Сырники с малиновым вареньем (тест завтраков)  Small""]"
"Заказ, который любил делать Железный человек Тони Старк","[""Пепперони Small"",""Чизкейк Нью-Йорк (новая упаковка)""]"
Кус говядина песто,"[""Кус говядина песто""]"
Цыпленок барбекю (без свинины) Small,"[""Цыпленок барбекю (без свинины) Small""]"
попробовать всякое разное и чтобы не очень дорого,"[""Чоризо фреш Small"",""Сырная Small"",""Пепперони Фреш Small""]"
Цыпленок барбекю Medium,"[""Цыпленок барбекю Medium""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""Цыпленок"",""ананас"",""соус карри"",""лук"",""зеленый перец"",""моцарелла и томатный соус""","[""Цыпленок барбекю Medium"",""Цыпленок карри Medium""]"
one biggest pizza with chicken  for me and my friend,"[""Песто Large""]"
3 pizzas from 1199 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Пицца Жюльен Medium,"[""Пицца Жюльен Medium""]"
Кус Овощная Римская (тест 90 минут),"[""Кус Овощная Римская (тест 90 минут)""]"
коктейль со вкусом кокоса,"[""Кокосовый молочный коктейль (фризер) 0.3""]"
пару пицц и попить,"[""Аррива! Small"",""Добрый Кола Big"",""Четыре сезона  Small""]"
Сытный перекус без пиццы с картошкой на двоих без пиццы и десертов,"[""Грибной Стартер"",""Додстер"",""Картофель из печи"",""Острый Додстер"",""Сырный Стартер""]"
"Хочу нелегкий ужин на двоих бойцов сумо, они только что вылетели с татами и от удара от них открепилось около 65 кг с каждого. Нужно срочно набрать вес","[""Аррива! Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона Medium""]"
Сгущенное молоко в стиках,"[""Сгущенное молоко в стиках""]"
2 desserts,"[""Маффин Три шоколада"",""Маффин Три шоколада""]"
3 pizzas,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
Гавайская с альфредо Medium,"[""Гавайская с альфредо Medium""]"
Кофе Карамельный Капучино 0.4 большой ,"[""Кофе Карамельный Капучино 0.4""]"
У вас есть додстер и микс?,"[""Додо Микс Small"",""Додстер""]"
for two children and one Italian pizza,"[""Двойной цыпленок Small"",""Маргарита Small""]"
сладкие слоенки с клюквой,"[""Слоеные палочки с брусникой и клюквенным соусом 8.0""]"
pineapple chocolate sticks,"[""Слоеные палочки с ананасами и шоколадным соусом 8.0""]"
Пиццу на 2х,"[""Пепперони Фреш Large""]"
3 pizzas from 999 ₽,"[""Ветчина и сыр Small"",""Пепперони Фреш Small"",""Сырная Small""]"
"2 fondants, something sweet for dessert","[""Фондан 2.0""]"
Кус Песто Римская,"[""Кус Песто Римская""]"
"3 ранзых пиццы с сыром, чтобы было не очень дорого","[""Чоризо фреш Medium"",""Сырная Medium"",""Пепперони Фреш Medium""]"
Комбо Завтрак на двоих,"[""Кофе Капучино 0.4"",""Омлет с пепперони в пите"",""Стартер с ветчиной"",""Кофе Капучино 0.4""]"
одна паста карбонара и пиццу ДоДо,"[""Додо Large"",""Карбонара Large""]"
перекусить ,"[""Пицца из половинок Large""]"
"две или три разные пиццы, чтобы на них вместе была скидка","[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
Слоеные палочки с ананасами и брусникой,"[""Слоеные палочки с ананасами и брусникой""]"
Комбо Обед с добрый кола (coca-cola),"[""Добрый Кола Small"",""Додстер"",""Картофель из печи""]"
a large coca cola and a small one from the chef with beef,"[""Добрый Кола Big"",""Пицца от шефа Small""]"
Wafer cone (m),"[""Вафельный рожок (м)""]"
"Сироп ореховый 0,4 Big","[""Сироп ореховый 0,4 Big""]"
три разных морса,"[""Морс Вишня  0.45"",""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
Пицца 25 см и напиток,"[""Двойной цыпленок Small"",""Сок Rich Яблоко 0.3""]"
bracelets,"[""Бруслетики""]"
"очень острую пиццу, чтоб прям рот горел будто бы пожар","[""Диабло Medium""]"
Ветчина и грибы Large,"[""Ветчина и грибы Large""]"
Деревенская с бужениной Small,"[""Деревенская с бужениной Small""]"
у меня есть всего лишь 800 рублей я хочу салат и может быть пиццу,"[""Ветчина и сыр Medium"",""Салат Цезарь со смесью сыров (трекинг)""]"
Чизкейк Банановый с шоколадным печеньем,"[""Чизкейк Банановый с шоколадным печеньем""]"
Карбонара Large,"[""Карбонара Large""]"
"семь разных пицц, одна из них пицц должна быть без месяца и плюс один бруслетики (десерт)","[""Бруслетики"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
слоенки с ананасами,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
Карамельное яблоко молочный коктейль 0.3,"[""Карамельное яблоко молочный коктейль 0.3""]"
много малиновых сырников,"[""Сырники с малиновым вареньем 260.0""]"
"4 средних пиццы, один из них четыре сезона","[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Чай Черный 0.2,"[""Чай Черный 0.2""]"
"Пиццу с ананасами, пиццу пепреони, колу и липтон","[""Гавайская с альфредо Medium"",""Пепперони Medium"",""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""]"
Кус Грибная (фудкорт),"[""Кус Грибная (фудкорт)""]"
кола и острый додстер,"[""Добрый Кола Big"",""Острый Додстер""]"
Кус Пепперони Римская,"[""Кус Пепперони Римская""]"
Комбо от 579 ₽,"[""Ветчина и грибы Small"",""Додстер"",""Сырный соус Додо"",""Добрый Кола Big""]"
Комбо от 659 ₽,"[""Добрый Кола Big"",""Сырный соус Додо"",""Додстер"",""Ветчина и грибы Small""]"
two without bow for 5 people,"[""Ветчина и грибы Large"",""Мясная Large""]"
add two different sauces,"[""Барбекю соус Додо"",""Сырный соус Додо""]"
обычный коктейль,"[""Коктейль Классический (фризер) 0.3""]"
burger and garlic pizza,"[""Бургер-пицца Medium"",""Цыпленок ранч Medium""]"
пицца с песто с фирменный соус альфредо,"[""Песто Medium""]"
пиццу с пеперони и соусом,"[""Пепперони Фреш Medium"",""Сырный соус Додо""]"
Вафельный рожок (м),"[""Вафельный рожок (м)""]"
новый десерт для ребенка,"[""Тирамису NEW""]"
"дай пиццу на двоих с девушкой, нас двое","[""Домашняя Medium""]"
Ложка (несъедобное),"[""Ложка""]"
Чесночный соус,"[""Чесночный соус ""]"
мороженое со вкусом шоколада в стаканчике,"[""Мороженое в стаканчике с шоколадом""]"
пирожное с фруктовым вкусом,"[""Макарон манго-маракуйя""]"
Омлет с овощами в пите,"[""Омлет с овощами в пите""]"
картофель фри с соусос,"[""Картофель из печи с сырным соусом Big"",""Сырный соус Додо""]"
Мясной Микс с пастрами из говядины Medium,"[""Мясной Микс с пастрами из говядины Medium""]"
Колбаски барбекю Medium,"[""Колбаски барбекю Medium""]"
"додстер, колу и липтон пожалуйста","[""Додстер"",""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""] "
пиццу для пикника на двоих,"[""Пепперони Small"",""Сырная Small""]"
печенье с шоколадом,"[""Шоколадный кукис NEW 70.0""]"
"Кофе Латте 0.3 средний, не чай","[""Кофе Латте 0.3""]"
Карбонара (без свинины) Medium,"[""Карбонара (без свинины) Medium""]"
Домашняя разных размеров,"[""Домашняя Small"",""Домашняя Medium"",""Домашняя Large""]"
Комбо от 729 ₽,"[""Ветчина и грибы Small"",""Додстер"",""Сырный соус Додо"",""Добрый Апельсин 0.5""]"
картошку фри с соусом,"[""Картофель из печи"",""Сырный соус Додо""]"
Кус Сырная (фудкорт),"[""Кус Сырная (фудкорт)""]"
"2 pizzas, but my friend doesn't eat meat, he's a vegan","[""Бургер-пицца Medium"",""Четыре сезона  Medium""]"
big pepperoni and drink,"[""Двойная пепперони Large"",""Добрый Кола Big""]"
3 пиццы от 849 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Комбо от 729 ₽,"[""Двойной цыпленок Small"",""Додстер"",""Сырный соус Додо"",""Добрый Кола Big""]"
6 salads and several pizzas for 4 with chicken and cherry tomatoes,"[""Салат Цезарь со смесью сыров (трекинг)"",""Салат Цезарь со смесью сыров (трекинг)"",""Салат Цезарь со смесью сыров (трекинг)"",""Салат Цезарь со смесью сыров (трекинг)"",""Салат Цезарь со смесью сыров (трекинг)"",""Салат Цезарь со смесью сыров (трекинг)"",""Двойной цыпленок Medium"",""Двойной цыпленок Medium""]"
Чай Зеленый 0.4,"[""Чай Зеленый 0.4""]"
Mushroom Roman (4 pieces) Small,"[""Грибная Римская (4 кусочка) Small""]"
два напитка,"[""Морс Вишня  0.45"",""Морс Клюква 0.45""]"
обычную пиццу для одного,"[""Ветчина и сыр Small""]"
Паста Мясная,"[""Паста Мясная""]"
сырнички,"[""Сырники без топпинга 30.0""]"
pizza with chicken,"[""Цыпленок барбекю Medium""]"
заказ на одного с пиццей и закуской,"[""Додстер"",""Песто Small""]"
Коктейль Шоколадный (фризер) 0.3,"[""Коктейль Шоколадный (фризер) 0.3""]"
Мороженое в стаканчике без топпинга,"[""Мороженое в стаканчике без топпинга""]"
Молоко для 0.2 Small,"[""Молоко для 0.2 Small""]"
пиццы на пятерых,"[""Ветчина и сыр Large"",""Пепперони Фреш Large""]"
Открытка «День рождения»,"[""Открытка «День рождения»""]"
маленькая порция сырников с вареньем,"[""Сырники с малиновым вареньем 130.0""]"
неострую закуску и острую пицц,"[""Диабло Small"",""Острый Додстер""]"
"[""Цыпленок"",""ананас"",""соус карри"",""лук"",""зеленый перец"",""моцарелла и томатный соус""]","[""Цыпленок карри Large""]"
"зеленый чай холодный, кофе надоел","[""Rich Tea Зеленый 0.5""]"
Кус Пепперони Римская (4 кусочка),"[""Кус Пепперони Римская (4 кусочка)""]"
Морс Вишня  0.45,"[""Морс Вишня  0.45""]"
Что нибудь для детей их трое,"[""Малиновое варенье"",""Пицца Миксик Small"",""Сырники с малиновым вареньем""]"
Кус Песто,"[""Кус Песто""]"
детская пицца ,"[""Пицца Миксик""]"
Домашняя Large,"[""Домашняя Large""]"
"Хочу такие пиццы, где есть сразу несколько вкусов. ","[""Додо Микс Medium"",""Четыре сезона  Medium""]"
large light pizza with cheese,"[""Четыре сезона  Large""]"
Сырная Medium со смесью сыров,"[""Сырная Medium""]"
маленькую ариву и coca-cola с пепперони,"[""Аррива! Small"",""Добрый Кола Big"",""Пепперони Small""]"
Слоеные палочки с соусом манго и ананасами,"[""Слоеные палочки с соусом манго и ананасами""]"
"хочу попробовать две разные пиццы с разными начинками, одна из пицц с говядиной","[""Мясной Микс с пастрами из говядины Small"",""Четыре сезона  Small""]"
Морс Клюква 0.45,"[""Морс Клюква 0.45""]"
5 разных додстеров и 3 разных морсов,"[""Додстер"",""Додстер Карри"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Морс Вишня  0.45"",""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
Ха... хочу пахавать,"[""Бруслетики"",""Додстер"",""Морс Клюква 0.45""]"
2 кофе: Латте или Капучино,"[""Кофе Капучино 0.3"",""Кофе Латте 0.3""]"
шоколадный коктейль,"[""Коктейль Шоколадный 0.3""]"
Коктейль Классический (фризер) 0.3,"[""Коктейль Классический (фризер) 0.3""]"
додстеры для мужчины мясоеда,"[""Супермясной Додстер"",""Супермясной Додстер""]"
Пепперони Фреш Medium,"[""Пепперони Фреш Medium""]"
шейк,"[""Манго-шейк (NEW) 0.3""]"
Кофе Кокосовый латте 0.2,"[""Кофе Кокосовый латте 0.2""]"
шоколадное  пирожное,"[""Брауни""]"
комбо без пиццы с ореховым латте,"[""Додстер"",""Кофе Ореховый латте 0.3"",""Салат Цезарь со смесью сыров (трекинг)""]"
Пицца 25 см и напиток,"[""Сок Rich Вишня 0.3"",""Пепперони Фреш Small""]"
"комбо с пиццей аррива, где есть острая чоризо, цыпленок, томаты, соус бургер, сладкий перец, красный лук, моцарелла, соус ранч, чеснок","[""Аррива! Small"",""Барбекю соус Додо"",""Добрый Кола без сахара Big"",""Додстер""]"
Children's Dodo Coloring to keep the kids busy (inedible),"[""Додо Раскраска""]"
много пицц чтобы суммарно было до 800 рублей,"[""Чоризо фреш Small"",""Сырная Small"",""Пепперони Фреш Small""]"
ранч и донер,"[""Острый Додстер"",""Соус Ранч/Чесночный""]"
Кус Грибная Римская (4 кусочка),"[""Кус Грибная Римская (4 кусочка)""]"
две большие неострые пиццы,"[""Ветчина и сыр Large"",""Карбонара Large""]"
Комбо от 599 ₽,"[""Барбекю соус Додо"",""Добрый Кола Big"",""Додстер"",""Ветчина и грибы Small""]"
dodster with meat too,"[""Додстер"",""Супермясной Додстер""]"
кофе с салатом и чем-нибудь еще,"[""Додстер"",""Кофе Латте 0.4"",""Салат Цезарь со смесью сыров (трекинг)""]"
Соберите свою пиццу Medium,"[""Соберите свою пиццу Medium""]"
маленькая пицца с ветчиной и сыром закуска и сырный соус,"[""Ветчина и сыр Small"",""Добрый Кола Big"",""Додстер"",""Сырный соус Додо""]"
карамельный яблочный молочный коктель с одной маленькой пиццей Жульен на фирменном соусе альфредо,"[""Карамельное яблоко молочный коктейль 0.3"",""Пицца Жюльен Small""]"
Подарочный сертификат,"[""Подарочный сертификат""]"
Помоги мне выбрать? пиццу и десерт или пиццу и додстер?,"[""Сырная Small"",""Фондан""]"
Песто Римская (4 кусочка) Small,"[""Песто Римская (4 кусочка) Small""]"
2 Кофе: Латте или Капучино объемом 0.4,"[""Кофе Капучино 0.4"",""Кофе Латте 0.4""]"
Четыре сыра Large,"[""Четыре сыра Large""]"
Крылья «Барбекю»,"[""Крылья «Барбекю»""]"
кофе и сладенькое,"[""Кофе Латте 0.4"",""Чизкейк Нью-Йорк (новая упаковка)""]"
"Сироп ореховый 0,3","[""Сироп ореховый 0,3""]"
закуска крылья и соус также,"[""Ланчбокс с куриными кусочками"",""Сырный соус Додо""]"
сладость и нескольоко пицц поесть,"[""Аррива! Medium"",""Бруслетики"",""Бургер-пицца Medium""]"
2 Dodsters,"[""Додстер"",""Додстер с ветчиной ""]"
Грибной Стартер,"[""Грибной Стартер""]"
(15) five teen pizzas ,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
мороженое со вкусом клубники в стаканчике,"[""Мороженое в стаканчике с клубникой""]"
с глютеном на 4 голодных человека,"[""Ветчина и сыр Small"",""Домашняя Small"",""Пепперони Фреш Small""]"
Rich Tea Черный с лимоном 0.5,"[""Rich Tea Черный с лимоном 0.5""]"
я забыл соус,"[""Сырный соус Додо""]"
обычные пиццы на троих,"[""Ветчина и грибы Medium"",""Двойная пепперони Medium""]"
два разных додстера и два разных стартера на двоих человек,"[""Грибной Стартер"",""Додстер"",""Додстер Карри"",""Сырный Стартер""]"
2 cheesecakes and a drink,"[""Сырники без топпинга"",""Малиновое варенье"",""Кофе Латте 0.3""]"
бодрящий напиток латте 0.4,"[""Кофе Латте 0.4""]"
плотный перекус на двох за 600,"[""Дэнвич ветчина и сыр"",""Паста Карбонара""]"
Продукт может быть без лука,"[""Продукт может быть без лука""]"
Сладенькое на десерт без шоколада и что-нибудь попить без сахара,"[""Маффин Соленая карамель"",""Добрый Кола без сахара Big""]"
Дэнвич ветчина и сыр,"[""Дэнвич ветчина и сыр""]"
двадцать девять (29),"[""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3""]"
Сытный завтрак,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Пицца 4 сыра,"[""Четыре сыра Small""]"
Хочу диетическую еду но вкусную,"[""Салат Цезарь со смесью сыров""]"
салат и пиццу маленькую,"[""Салат Цезарь со смесью сыров (трекинг)"",""Четыре сыра Small""]"
Что выбрать на одного человека? Двойной цыпленок или Гавайскую с альфредо? ,"[""Двойной цыпленок Small""]"
пицца и сладкий десерт,"[""Сырная Small"",""Чизкейк Нью-Йорк (новая упаковка)""]"
Додо Микс (без свинины) Medium,"[""Додо Микс (без свинины) Medium""]"
Сок Rich Вишня,"[""Сок Rich Вишня""]"
"устал, хочу побольше мяса","[""Супермясной Додстер"",""Цыпленок ранч Small""]"
6 different pizzas with pepperoni,"[""Пепперони Фреш Medium"",""Пепперони Medium"",""Двойная пепперони Medium"",""Четыре сезона"",""Мясная Medium"",""Домашняя Medium""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""итальянские травы""","[""Додо Medium"",""Четыре сезона  Medium""]"
Две халяльных пиццы,"[""Двойной цыпленок""]"
promotion: two coffees at a discount,"[""Кофе Капучино 0.4"",""Кофе Капучино 0.4""]"
несколько пицц на 5 человек,"[""Ветчина и сыр Large"",""Пепперони Фреш Large""]"
"Картофельные оладьи, 8 шт","[""Картофельные оладьи, 8 шт""]"
разнообразный перекус на трех людей без пиццы. Пиццы быть не должно вообще!,"[""Додстер"",""Паста Карбонара"",""Паста Песто""]"
Что-нибудь сладенькое,"[""Бруслетики"",""Малиновое варенье""]"
dessert with nuts,"[""Додо тарт 80.0""]"
Кус Пепперони (половинка),"[""Кус Пепперони (половинка)""]"
5 пицц,"[""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium""]"
две маленьких пиццы и газировка,"[""Аррива! Small"",""Добрый Кола Big"",""Цыпленок карри Small""]"
Таежный чай 0.2,"[""Таежный чай 0.2""]"
a large portion of cheesecakes with jam,"[""Сырники с малиновым вареньем 260.0""]"
any two pastes,"[""Паста Мясная"",""Паста Песто""]"
differents type of cheese,"[""Четыре сыра Medium""]"
новая сладкая шоколадная радость для вкусовых сосочков,"[""Шоколадный кукис NEW""]"
Салат Цезарь со смесью сыров,"[""Салат Цезарь со смесью сыров""]"
Додо (без свинины) Medium,"[""Додо (без свинины) Medium""]"
две маленькие вегетарианские пиццы без мяса,"[""Овощи и грибы Small"",""Сырная Small""]"
мороженое с маракуйей,"[""Сорбет Бразильская маракуйя и манго 1.0""]"
"2 Starters, for two people","[""Сырный Стартер"",""Сырный Стартер""]"
клубничное мороженое не в вафельном стаканчике,"[""Мороженое в стаканчике с клубникой""]"
Double Pepperoni Large,"[""Двойная пепперони Large""]"
Зеленый чай NEW сенча Small,"[""Зеленый чай NEW сенча Small""]"
шесть (6) додстеров ,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер""]"
"несколько маффинов, один из маффинов с соленой карамелью","[""Маффин Соленая карамель"",""Маффин Три шоколада""]"
Цыпленок карри Small,"[""Цыпленок карри Small""]"
10 соусов,"[""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо""]"
фирменнаый Додо Клюв. (несъедобное),"[""Додо Клюв""]"
two random pizzas,"[""Ветчина и сыр Small"",""Пепперони Medium""]"
картошку с грибами,"[""Грибной Стартер"",""Картофель из печи""]"
Додо Колпак (несъедобное),"[""Додо Колпак""]"
Мортаделла с трюфельным соусом Large,"[""Мортаделла с трюфельным соусом Large""]"
Две маленькие пиццы в итальянском стиле,"[""Песто Small"",""Пицца Жюльен Small""]"
сытный обед или ужин на одного,"[""Аррива! Small"",""Паста Карбонара""]"
что-то острое с большим количеством мяса,"[""Диабло Small""]"
кофе с салатиком,"[""Кофе Латте 0.4"",""Салат Цезарь со смесью сыров (трекинг)""]"
"20 margherita pizza, not the biggest","[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
"mushroom, pepperoni and chicken","[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Цыпленок карри Small""]"
закинь одну популярную пиццу,"[""Пепперони Medium""]"
Десерт и маленькую острую пиццу,"[""Маффин Соленая карамель"",""Диабло Small""]"
Мороженое в стаканчике с карамелью,"[""Мороженое в стаканчике с карамелью""]"
big cola and pizza with four flavors for one,"[""Добрый Кола Big"",""Четыре сезона  Small""]"
Кофе Глясе 0.3,"[""Кофе Глясе 0.3""]"
шоколадное печенье,"[""Шоколадный кукис NEW 70.0""]"
"двойную из кусочков на двоих, от шефа","[""Пицца из половинок Large"",""Пицца от шефа Small""]"
пицца и сок с вишней,"[""Пицца из половинок Large"",""Сок Rich Вишня""]"
